gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC101928841,19.65348314,2.50179516,0.490418616,5.101346233,4.45171993489865e-05,0.007281313
IRF9,965.4683287,-1.300383175,0.082791323,-15.70675682,1.64208410690772e-18,9.95992431010656e-16
WARS,8641.022657,-1.088761913,0.09661745,-11.26879166,6.98146870894976e-08,1.69382066660303e-05
KIAA1199,282.0512385,1.088957379,0.127393202,8.548002241,3.23240536261341e-05,0.00540852
ISG20,155.2887533,-2.164736482,0.173735748,-12.45993703,3.70342968040282e-20,2.69554129288119e-17
ANPEP,31.82222428,1.993869003,0.383791783,5.195184191,0.000114825,0.017863891
GPRC5B,394.3633228,0.98763666,0.099595283,9.916500311,2.12976916008729e-05,0.00378086
CNGB1,125.4271501,1.393105218,0.171638206,8.116521681,1.08281178433136e-06,0.000215925
CDH11,171.8827913,1.59255652,0.16164894,9.851945358,1.87705380632277e-10,6.3544819206141e-08
PLCG2,646.7844231,-1.390810677,0.09526053,-14.60007283,8.58435161499703e-18,4.80624640228891e-15
XAF1,104.9731672,-3.134753529,0.405250022,-7.735356835,1.44897720647809e-10,5.02208599873845e-08
DHX58,139.7215084,-1.472786732,0.185842409,-7.924922714,7.77638387146808e-07,0.000159438
PMAIP1,378.2867881,-1.207269898,0.116330005,-10.37797509,3.48080411602603e-08,8.88948517841946e-06
BST2,170.400665,-2.03453281,0.171727795,-11.84742872,1.2270641074399e-17,6.6156934118528e-15
IGFL1,1155.692083,2.292085685,0.068053198,33.68079332,5.76904595638507e-140,2.79933339956992e-136
ZNFX1,3775.203756,-0.81649371,0.042374404,-19.26855937,1.19534717470857e-08,3.28314506079862e-06
FAM65C,800.310322,1.196123667,0.074296739,16.09927539,5.53337503882587e-17,2.68497801467294e-14
MX2,123.9111813,-3.131640756,0.451522863,-6.935730197,7.96711750217429e-09,2.31121586555884e-06
MX1,651.9478193,-2.979119104,0.228001264,-13.06623942,3.40602312087717e-26,3.09884241066306e-23
LIF,1481.890785,0.816926787,0.055854137,14.62607492,1.10825465034053e-05,0.002016608
APOL6,4310.28051,-1.043169798,0.080732351,-12.9213356,4.81548939102233e-09,1.49146976734281e-06
APOL3,356.0017213,-1.049290368,0.123208277,-8.516395108,6.9787786579371e-05,0.0110424
APOL1,1055.045842,-1.330546989,0.132877741,-10.01331737,8.09727341784028e-09,2.31121586555884e-06
SLC12A7_1,184.6978807,1.341727374,0.145071142,9.248754459,7.5754544523998e-08,1.80780148300957e-05
HLA-B_3,855.6108785,-1.340122826,0.088554672,-15.13328203,4.59523329477263e-18,2.6757124428802e-15
