gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
9817,KEAP1,5457.77996310382,-1.41687109259866,0.212631733290296,-6.66349782637697,2.67386003145952e-11,5.58203914030281e-10
8818,DPM2,2401.8417981342,-1.41828389148859,0.297810321387828,-4.76237319404928,1.91329425816217e-06,1.40416677191134e-05
7536,SF1,10685.2783047601,-1.41840995231418,0.121797988933706,-11.6455941902802,2.41631645015512e-31,3.3797363376384e-29
59271,EVA1C,895.6561100486,-1.41868736834635,0.465315770333202,-3.04887016257897,0.00229703733385037,0.00716593676461015
9314,KLF4,8420.90763307807,-1.41885409510391,0.456276184180478,-3.1096387326293,0.00187316295120629,0.00603393270447795
4326,MMP17,363.778140267329,-1.41890989250953,0.495647768138722,-2.86273838745988,0.0041999718482122,0.0119976438704145
256302,NATD1,767.394529225125,-1.42032307056382,0.348673163110867,-4.073508433777,4.63101737137901e-05,0.000234569534832757
29092,LINC00339,338.986523474307,-1.42161179976572,0.28586720047459,-4.97297975215622,6.59315496748626e-07,5.38170740197232e-06
118490,MSS51,265.365851323345,-1.42215370291015,0.312174921987647,-4.55563084265439,5.22285923466253e-06,3.3966798250801e-05
84446,BRSK1,81.7847744978522,-1.42238961857803,0.581184655840567,-2.4473970609579,0.0143892221924058,0.0344251373209152
57326,PBXIP1,4488.77862751946,-1.42240165474832,0.297695087362437,-4.7780487993629,1.77004428667608e-06,1.31043505564049e-05
3090,HIC1,281.066702931,-1.42268499141423,0.433552562500187,-3.28145907663414,0.00103271509132893,0.00358112748687853
92070,CTBP1-DT,653.059104736488,-1.42380377970724,0.235427027977304,-6.04774987791336,1.4688275104333e-09,2.17568686152079e-08
5720,PSME1,9678.31888372869,-1.42395544953556,0.276203354369207,-5.15546037732811,2.5300853932652e-07,2.30664482089234e-06
94,ACVRL1,777.885331505067,-1.4245095537825,0.384782849513255,-3.70211290753858,0.000213811423767085,0.000902534015996348
1508,CTSB,74448.269048199,-1.42457016593913,0.314236897548427,-4.53342741432709,5.80342150326084e-06,3.72965539471132e-05
7070,THY1,5419.96973899131,-1.42469759824719,0.550026424805168,-2.59023482144854,0.00959104833436389,0.0243626810849025
27143,PALD1,607.349673286637,-1.425841354902,0.376127130568333,-3.79084952672127,0.000150132893703766,0.000660949263603227
22859,ADGRL1,2028.78300758697,-1.42725152625905,0.435553506611345,-3.2768684090348,0.00104965276791098,0.00363021909241129
78994,PRR14,1534.62631824835,-1.42725683806358,0.181483354249856,-7.86439529929896,3.7088463880686e-15,1.44674561695536e-13
55262,MAP11,995.350243388806,-1.4277234194745,0.216335627651822,-6.59957601515516,4.12335291192764e-11,8.34989624833166e-10
64855,NIBAN2,32796.3005108977,-1.42778292201018,0.296426776526319,-4.81664625153529,1.45991170912413e-06,1.10165668932827e-05
147463,ANKRD29,453.37409908269,-1.42963884353387,0.533041178412601,-2.68204202870656,0.007317426598859,0.0193269284676095
286262,TPRN,1011.79290642015,-1.4305489533126,0.332314774482314,-4.30480093923338,1.67135951724419e-05,9.52796566715452e-05
81619,TSPAN14,8654.55609514571,-1.43134291288677,0.197188533986701,-7.25875325480797,3.90674378854153e-13,1.12008575208229e-11
81786,TRIM7,1202.4576032571,-1.43152247797979,0.405359911895997,-3.53148507281865,0.000413233184722441,0.00160745574557704
84243,ZDHHC18,2801.86864791881,-1.43256219845755,0.189022357092182,-7.57879766444198,3.48771933709417e-14,1.17347972609928e-12
26469,PTPN18,1718.01864343667,-1.43412288150683,0.292451877678592,-4.90379098568466,9.40045161084168e-07,7.40841891337273e-06
726,CAPN5,812.006983932838,-1.43412396388579,0.484510979581718,-2.9599411041704,0.00307697859662544,0.0092204814716071
90525,SHF,190.72098291826,-1.43427038576802,0.488400801565175,-2.93666673185553,0.00331760424469075,0.00980904821373007
285966,TCAF2,1350.61230775696,-1.43460193293876,0.382972874978722,-3.74596225129121,0.000179703614239572,0.00077441817210372
4150,MAZ,10135.4813801678,-1.43618476544613,0.186408746723393,-7.70449236256731,1.31364434975739e-14,4.72863670164509e-13
79763,ISOC2,2473.58070146996,-1.43625852996792,0.310147855372612,-4.63088331932007,3.64109027900553e-06,2.45946291284878e-05
286077,FAM83H,15225.4584574683,-1.43736533732817,0.307591388201088,-4.67297002602844,2.96875106465648e-06,2.05493401725356e-05
1889,ECE1,10913.5828241466,-1.43744816061114,0.345770072225804,-4.15723706611722,3.2211967994242e-05,0.000170479664125202
23399,CTDNEP1,4663.27359913849,-1.43755539980346,0.19352030382496,-7.42844741037475,1.09879750708634e-13,3.40453366831719e-12
113189,CHST14,1108.32549671093,-1.43828646468558,0.334524004725397,-4.29950151369925,1.71182706800646e-05,9.72750947350624e-05
91300,R3HDM4,5262.95520784787,-1.43832511610556,0.213309510655485,-6.74290195353076,1.55253983345364e-11,3.38550501321705e-10
64773,PCED1A,1051.38860874433,-1.43834935202914,0.304348207489039,-4.72599909129065,2.28986671691597e-06,1.64430399892368e-05
2010,EMD,2976.00777513453,-1.4384391188539,0.217877838051493,-6.60204420843363,4.05526533130006e-11,8.23757320721139e-10
1052,CEBPD,3504.20167558892,-1.43916928494334,0.403733601139686,-3.56465075208195,0.000364340998030718,0.00143841238375756
2894,GRID1,59.9732079367681,-1.43947599108587,0.563321530087605,-2.55533636511641,0.0106085227641285,0.0264598258523965
26011,TENM4,1620.59638746396,-1.4407743988284,0.448468258995072,-3.21265634731181,0.00131513546029917,0.00442111288988468
113829,SLC35A4,4854.78342957063,-1.44125387969191,0.197908056749193,-7.28244167198506,3.27831698308579e-13,9.51051898707941e-12
4708,NDUFB2,3212.33014848337,-1.44147618769975,0.312398896402727,-4.61421664512374,3.94580680788017e-06,2.63889306393134e-05
23098,SARM1,333.788943367776,-1.44149908870491,0.5001809940778,-2.88195494385517,0.00395216242017989,0.0113911163544249
