"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WDR83OS",401.674648692152,0.0176187346422293,0.0970279806008465,0.181584059908545,0.999999996971187,1
"DHPS",683.027125976034,-0.291573309269362,0.0756257426376619,-3.85547697252176,0.999931596053191,1
"FBXW9",158.540433415179,-0.244113346690921,0.146946391717059,-1.66124083646064,0.988866350472908,1
"TNPO2",2651.97958954839,-0.0206918478279433,0.0414421351729347,-0.499294926325535,1,1
"C19orf43",2273.58617305113,0.044345236702606,0.0478779091633396,0.926214980510497,1,1
"ASNA1",1041.57645787712,0.027605681781528,0.0624237506165663,0.442230425260636,1,1
"HOOK2",644.919299779235,-0.0376389595853864,0.0846664837372757,-0.444555601271714,0.999999999925384,1
"JUNB",2818.87490707629,-0.274932180208849,0.0436044919620503,-6.3051343528581,0.999999999998685,1
"PRDX2",3022.22261207975,0.112508509844885,0.0442839779902338,2.54061434746663,1,1
"RNASEH2A",1099.75530213386,-0.0195729022612334,0.067190224120111,-0.291305804044416,1,1
"MAST1",21.5696282206631,-0.354698763422905,0.4144764553669,-0.855775421812371,0.718697390027574,1
"DNASE2",737.939837259297,-0.135258283117501,0.0820367109575978,-1.6487531196541,0.999999970408537,1
"GCDH",251.457085571124,0.152085667706799,0.132541449948407,1.1474574011828,0.999377880260365,1
"SYCE2",13.1726583432082,-0.251644325117196,0.515532974905566,-0.488124596032468,0.791266416010685,1
"FARSA",1518.28332512171,0.0217311341029153,0.0585775245791187,0.370980751731217,1,1
"CALR",21275.2039564743,-0.0210832020669592,0.0260816617604591,-0.80835348071733,1,1
"RAD23A",3064.90228758726,-0.092987699135725,0.0394114585763241,-2.35940770767581,1,1
"GADD45GIP1",671.490131291688,-0.0081995410038293,0.0733507097776897,-0.111785435051417,0.999999999999997,1
"NFIX",875.261713742766,0.00351037452349399,0.0697034846045222,0.0503615356306914,1,1
"TRMT1",908.101727511925,0.0618482254809625,0.065672851282286,0.941762452419129,0.999999999999998,1
"NACC1",5587.5139732506,-0.031964599775314,0.0363518236518878,-0.879312137993773,1,1
"STX10",662.193614359344,-0.0405552909691139,0.0759219788965677,-0.534170625667759,0.9999999999994,1
"IER2",1197.92339004395,-0.0462346619210088,0.0649647602445427,-0.711688332981921,1,1
"CCDC130",254.788464959514,0.077626475143238,0.117962362759041,0.658061379304546,0.999989734235122,1
"MRI1",459.190005525081,0.103962692614031,0.0885476890298824,1.17408702308365,0.99999996193238,1
"C19orf53",974.824109995663,0.170182851494818,0.0733498661672785,2.32015217460256,0.999999988459085,1
"ZSWIM4",117.274654180676,0.0951691565153803,0.170265427518671,0.55894586412702,0.997833434579598,1
"LOC284454",181.493148939954,-0.37489210337123,0.144060392493414,-2.60232598900054,0.922742495399533,1
"C19orf57",20.9388488436989,0.982941407542922,0.407765352503798,2.41055646711369,0.161598057129951,1
"CC2D1A",1614.93098452623,0.0386006325186187,0.0517339579623841,0.746137238265925,1,1
"PODNL1",16.7627284775207,0.00781283059829127,0.481038230641877,0.016241600148633,0.993735381961242,1
"DCAF15",688.833716705984,0.10171438899546,0.0776071306931419,1.31063200104173,0.999999999642895,1
"RFX1",555.118332321769,-0.0190632176772367,0.0849879119935235,-0.224305047977757,0.999999999980371,1
"IL27RA",523.61014004471,-0.177885441930928,0.0850678327833645,-2.09110113788763,0.999998860621972,1
"PALM3",32.0370590487413,0.430114679912506,0.332477024187852,1.29366737735684,0.675128401543293,1
"SAMD1",983.213141671801,-0.00214776799178903,0.064177698688418,-0.0334659552411877,1,1
"PRKACA",3101.36326167184,0.0970593037267649,0.0397054072723713,2.44448578655691,1,1
"ASF1B",2043.20399825409,0.0547634447358089,0.047252522075429,1.15895284167881,1,1
"LOC100507373",57.0324748231368,-0.249523662373903,0.247709344060244,-1.00732438382792,0.909325130219693,1
"LPHN1",1871.82348709695,-0.0678806429134205,0.0498502037741753,-1.36169238587116,1,1
"LOC101928845",32.8558621250359,-0.085902134378022,0.331792239156083,-0.258903386638925,0.954155429341954,1
"CD97",445.988040662333,0.0758777929471137,0.0902618606655489,0.840640691291163,0.999999988322409,1
"DDX39A",2176.75714727727,0.0424175094544606,0.0499009176130609,0.850034658347814,1,1
"PKN1",1614.78954420382,0.00116772382819033,0.0528199300510682,0.0221076367776583,1,1
"GIPC1",2739.87448907409,-0.0503515562511929,0.0458395201124704,-1.09843113818932,1,1
"DNAJB1",5206.75534545344,-0.0774347412240593,0.0353086904387684,-2.19307882172365,1,1
"TECR",2222.55123549579,-0.00565318619554225,0.0454221045063744,-0.124458922742096,1,1
"NDUFB7",463.310370300548,-0.0830984050955874,0.0923694172558792,-0.899631150269038,0.999999962654561,1
"ZNF333",97.700423337827,-0.0811787370311437,0.185899488556601,-0.436680798110035,0.99654266523705,1
"SYDE1",133.072714530059,0.0850295451684862,0.187889240685994,0.452551433270147,0.995985826617588,1
"ILVBL",788.300927296198,-0.0229498295284027,0.0683897529092346,-0.335574096295701,1,1
"NOTCH3",1793.47320601266,-0.304969433674513,0.0517316026913264,-5.89522492651567,0.999999947106084,1
